char,unicode,has_jongseong,jung_shape,structure_class,in_ref78,ink_ratio,bbox_fill,edge_density,psnr,ssim
가,U+AC00,0,horizontal,horizontal_noJong,0,0.09417724609375,0.79022216796875,0.0950927734375,nan,nan
각,U+AC01,1,horizontal,horizontal_jong,0,0.09588623046875,0.6796875,0.10546875,nan,nan
갂,U+AC02,1,horizontal,horizontal_jong,0,0.08355712890625,0.613037109375,0.09063720703125,nan,nan
갃,U+AC03,1,horizontal,horizontal_jong,0,0.10064697265625,0.640625,0.1072998046875,nan,nan
간,U+AC04,1,horizontal,horizontal_jong,0,0.09222412109375,0.7171630859375,0.09490966796875,nan,nan
갅,U+AC05,1,horizontal,horizontal_jong,0,0.0980224609375,0.65313720703125,0.101318359375,nan,nan
갆,U+AC06,1,horizontal,horizontal_jong,0,0.1317138671875,0.713134765625,0.133544921875,nan,nan
갇,U+AC07,1,horizontal,horizontal_jong,0,0.09716796875,0.67138671875,0.0947265625,nan,nan
갈,U+AC08,1,horizontal,horizontal_jong,0,0.1190185546875,0.6796875,0.1259765625,nan,nan
갉,U+AC09,1,horizontal,horizontal_jong,1,0.1175537109375,0.78125,0.12274169921875,9.68270633448212,0.6265883019650036
갊,U+AC0A,1,horizontal,horizontal_jong,0,0.13623046875,0.6875,0.14898681640625,nan,nan
갋,U+AC0B,1,horizontal,horizontal_jong,0,0.138671875,0.6796875,0.15301513671875,nan,nan
갌,U+AC0C,1,horizontal,horizontal_jong,0,0.13983154296875,0.65625,0.13604736328125,nan,nan
갍,U+AC0D,1,horizontal,horizontal_jong,0,0.114013671875,0.6796875,0.13360595703125,nan,nan
갎,U+AC0E,1,horizontal,horizontal_jong,0,0.12530517578125,0.671875,0.132080078125,nan,nan
갏,U+AC0F,1,horizontal,horizontal_jong,0,0.14849853515625,0.6875,0.1629638671875,nan,nan
감,U+AC10,1,horizontal,horizontal_jong,0,0.09918212890625,0.703857421875,0.1041259765625,nan,nan
갑,U+AC11,1,horizontal,horizontal_jong,0,0.10906982421875,0.722900390625,0.10675048828125,nan,nan
값,U+AC12,1,horizontal,horizontal_jong,1,0.1253662109375,0.6875,0.13037109375,8.911077142860655,0.5404201162314162
갓,U+AC13,1,horizontal,horizontal_jong,0,0.10333251953125,0.6046142578125,0.1019287109375,nan,nan
갔,U+AC14,1,horizontal,horizontal_jong,0,0.12255859375,0.68212890625,0.11419677734375,nan,nan
강,U+AC15,1,horizontal,horizontal_jong,0,0.110595703125,0.692138671875,0.0972900390625,nan,nan
갖,U+AC16,1,horizontal,horizontal_jong,0,0.1192626953125,0.65625,0.111328125,nan,nan
갗,U+AC17,1,horizontal,horizontal_jong,0,0.1153564453125,0.6666259765625,0.11285400390625,nan,nan
갘,U+AC18,1,horizontal,horizontal_jong,0,0.10772705078125,0.6640625,0.1109619140625,nan,nan
